country,iso3,match_id,utc_kickoff,local_kickoff,timezone,population,viewers,viewer_ratio,stage,match_importance,base_interest,sleep_loss_per_viewer,total_sleep_loss_hours,working_pop_ratio,lost_productive_hours,gdp_per_capita,gdp_per_hour,economic_loss
Curaçao,CUW,537351,2026-06-14T17:00:00+00:00,2026-06-14T13:00:00-04:00,America/Curacao,155967,15596,0.1,group,1.0,0.1,0.0,0.0,0.6,0.0,22832.8953958667,11.41644769793335,0.0
Curaçao,CUW,537354,2026-06-21T00:00:00+00:00,2026-06-20T20:00:00-04:00,America/Curacao,155967,15596,0.1,group,1.0,0.1,0.0,0.0,0.6,0.0,22832.8953958667,11.41644769793335,0.0
Curaçao,CUW,537356,2026-06-25T20:00:00+00:00,2026-06-25T16:00:00-04:00,America/Curacao,155967,15596,0.1,group,1.0,0.1,0.0,0.0,0.6,0.0,22832.8953958667,11.41644769793335,0.0
Czechia,CZE,537328,2026-06-12T02:00:00+00:00,2026-06-12T04:00:00+02:00,Europe/Prague,10905028,1090502,0.1,group,1.0,0.1,2.0,2181004.0,0.60341,1316039.62364,31823.3078290564,15.9116539145282,20940367.02916562
Czechia,CZE,537329,2026-06-18T16:00:00+00:00,2026-06-18T18:00:00+02:00,Europe/Prague,10905028,1090502,0.1,group,1.0,0.1,0.0,0.0,0.60341,0.0,31823.3078290564,15.9116539145282,0.0
Czechia,CZE,537331,2026-06-25T01:00:00+00:00,2026-06-25T03:00:00+02:00,Europe/Prague,10905028,1090502,0.1,group,1.0,0.1,2.0,2181004.0,0.60341,1316039.62364,31823.3078290564,15.9116539145282,20940367.02916562
Ecuador,ECU,537352,2026-06-14T23:00:00+00:00,2026-06-14T18:00:00-05:00,America/Guayaquil,18135478,1813547,0.1,group,1.0,0.1,0.0,0.0,0.64497,0.0,6874.705739766,3.437352869883,0.0
Ecuador,ECU,537354,2026-06-21T00:00:00+00:00,2026-06-20T19:00:00-05:00,America/Guayaquil,18135478,1813547,0.1,group,1.0,0.1,0.0,0.0,0.64497,0.0,6874.705739766,3.437352869883,0.0
Ecuador,ECU,537355,2026-06-25T20:00:00+00:00,2026-06-25T15:00:00-05:00,America/Guayaquil,18135478,1813547,0.1,group,1.0,0.1,0.0,0.0,0.64497,0.0,6874.705739766,3.437352869883,0.0
Egypt,EGY,537363,2026-06-15T19:00:00+00:00,2026-06-15T22:00:00+03:00,Africa/Cairo,116538258,11653825,0.1,group,1.0,0.1,1.0,11653825.0,0.44567999999999997,5193876.726,3338.47371395895,1.669236856979475,8669810.461647086
Egypt,EGY,537366,2026-06-22T01:00:00+00:00,2026-06-22T04:00:00+03:00,Africa/Cairo,116538258,11653825,0.1,group,1.0,0.1,2.0,23307650.0,0.44567999999999997,10387753.452,3338.47371395895,1.669236856979475,17339620.92329417
Egypt,EGY,537368,2026-06-27T03:00:00+00:00,2026-06-27T06:00:00+03:00,Africa/Cairo,116538258,11653825,0.1,group,1.0,0.1,1.0,11653825.0,0.44567999999999997,5193876.726,3338.47371395895,1.669236856979475,8669810.461647086
France,FRA,537391,2026-06-16T19:00:00+00:00,2026-06-16T21:00:00+02:00,Europe/Paris,68551653,6855165,0.1,group,1.0,0.1,0.0,0.0,0.55346,0.0,46103.0840855884,23.0515420427942,0.0
France,FRA,537393,2026-06-22T21:00:00+00:00,2026-06-22T23:00:00+02:00,Europe/Paris,68551653,6855165,0.1,group,1.0,0.1,2.0,13710330.0,0.55346,7588119.241799999,46103.0840855884,23.0515420427942,174917849.72808832
France,FRA,537395,2026-06-26T19:00:00+00:00,2026-06-26T21:00:00+02:00,Europe/Paris,68551653,6855165,0.1,group,1.0,0.1,0.0,0.0,0.55346,0.0,46103.0840855884,23.0515420427942,0.0
Germany,DEU,537351,2026-06-14T17:00:00+00:00,2026-06-14T19:00:00+02:00,Europe/Berlin,83516593,8351659,0.1,group,1.0,0.1,0.0,0.0,0.60571,0.0,56103.7323182554,28.0518661591277,0.0
Germany,DEU,537353,2026-06-20T20:00:00+00:00,2026-06-20T22:00:00+02:00,Europe/Berlin,83516593,8351659,0.1,group,1.0,0.1,1.0,8351659.0,0.60571,5058683.372889999,56103.7323182554,28.0518661591277,141905508.91771495
Germany,DEU,537355,2026-06-25T20:00:00+00:00,2026-06-25T22:00:00+02:00,Europe/Berlin,83516593,8351659,0.1,group,1.0,0.1,1.0,8351659.0,0.60571,5058683.372889999,56103.7323182554,28.0518661591277,141905508.91771495
