country,iso3,match_id,utc_kickoff,local_kickoff,timezone,population,viewers,viewer_ratio,stage,match_importance,base_interest,sleep_loss_per_viewer,total_sleep_loss_hours,working_pop_ratio,lost_productive_hours,gdp_per_capita,gdp_per_hour,economic_loss
Türkiye,TUR,537346,2026-06-14T04:00:00+00:00,2026-06-14T07:00:00+03:00,Europe/Istanbul,85518661,8551866,0.1,group,1.0,0.1,0.0,0.0,0.54379,0.0,15892.7157287241,7.94635786436205,0.0
Türkiye,TUR,537347,2026-06-20T03:00:00+00:00,2026-06-20T06:00:00+03:00,Europe/Istanbul,85518661,8551866,0.1,group,1.0,0.1,1.0,8551866.0,0.54379,4650419.21214,15892.7157287241,7.94635786436205,36953895.278969064
Türkiye,TUR,537349,2026-06-26T02:00:00+00:00,2026-06-26T05:00:00+03:00,Europe/Istanbul,85518661,8551866,0.1,group,1.0,0.1,2.0,17103732.0,0.54379,9300838.42428,15892.7157287241,7.94635786436205,73907790.55793813
United Kingdom,GBR,537409,2026-06-17T20:00:00+00:00,2026-06-17T21:00:00+01:00,Europe/London,69226000,6922600,0.1,group,1.0,0.1,0.0,0.0,0.61369,0.0,53246.3676145108,26.623183807255398,0.0
United Kingdom,GBR,537411,2026-06-23T20:00:00+00:00,2026-06-23T21:00:00+01:00,Europe/London,69226000,6922600,0.1,group,1.0,0.1,0.0,0.0,0.61369,0.0,53246.3676145108,26.623183807255398,0.0
United Kingdom,GBR,537413,2026-06-27T21:00:00+00:00,2026-06-27T22:00:00+01:00,Europe/London,69226000,6922600,0.1,group,1.0,0.1,1.0,6922600.0,0.61369,4248330.393999999,53246.3676145108,26.623183807255398,113104080.95341173
United States,USA,537345,2026-06-13T01:00:00+00:00,2026-06-12T21:00:00-04:00,America/New_York,340110988,34011098,0.1,group,1.0,0.1,0.0,0.0,0.61704,0.0,84534.0407841548,42.2670203920774,0.0
United States,USA,537348,2026-06-19T19:00:00+00:00,2026-06-19T15:00:00-04:00,America/New_York,340110988,34011098,0.1,group,1.0,0.1,0.0,0.0,0.61704,0.0,84534.0407841548,42.2670203920774,0.0
United States,USA,537349,2026-06-26T02:00:00+00:00,2026-06-25T22:00:00-04:00,America/New_York,340110988,34011098,0.1,group,1.0,0.1,1.0,34011098.0,0.61704,20986207.90992,84534.0407841548,42.2670203920774,887024477.6809646
Uruguay,URY,537370,2026-06-15T22:00:00+00:00,2026-06-15T19:00:00-03:00,America/Montevideo,3386588,338658,0.1,group,1.0,0.1,0.0,0.0,0.6498999999999999,0.0,23906.5133029408,11.953256651470399,0.0
Uruguay,URY,537372,2026-06-21T22:00:00+00:00,2026-06-21T19:00:00-03:00,America/Montevideo,3386588,338658,0.1,group,1.0,0.1,0.0,0.0,0.6498999999999999,0.0,23906.5133029408,11.953256651470399,0.0
Uruguay,URY,537373,2026-06-27T00:00:00+00:00,2026-06-26T21:00:00-03:00,America/Montevideo,3386588,338658,0.1,group,1.0,0.1,0.0,0.0,0.6498999999999999,0.0,23906.5133029408,11.953256651470399,0.0
Uzbekistan,UZB,537404,2026-06-18T02:00:00+00:00,2026-06-18T07:00:00+05:00,Asia/Samarkand,36361859,3636185,0.1,group,1.0,0.1,0.0,0.0,0.57499,0.0,3161.70010632875,1.580850053164375,0.0
Uzbekistan,UZB,537405,2026-06-23T17:00:00+00:00,2026-06-23T22:00:00+05:00,Asia/Samarkand,36361859,3636185,0.1,group,1.0,0.1,1.0,3636185.0,0.57499,2090770.01315,3161.70010632875,1.580850053164375,3305193.8864426585
Uzbekistan,UZB,537408,2026-06-27T23:30:00+00:00,2026-06-28T04:30:00+05:00,Asia/Samarkand,36361859,3636185,0.1,group,1.0,0.1,2.0,7272370.0,0.57499,4181540.0263,3161.70010632875,1.580850053164375,6610387.772885317
Scotland,SCO,537340,2026-06-14T01:00:00+00:00,2026-06-14T02:00:00+01:00,Europe/London,5500000,550000,0.1,group,1.0,0.1,2.0,1100000.0,0.73,803000.0,46000.0,23.0,18469000.0
Scotland,SCO,537342,2026-06-19T22:00:00+00:00,2026-06-19T23:00:00+01:00,Europe/London,5500000,550000,0.1,group,1.0,0.1,2.0,1100000.0,0.73,803000.0,46000.0,23.0,18469000.0
Scotland,SCO,537343,2026-06-24T22:00:00+00:00,2026-06-24T23:00:00+01:00,Europe/London,5500000,550000,0.1,group,1.0,0.1,2.0,1100000.0,0.73,803000.0,46000.0,23.0,18469000.0
